acc,clumpify input reads,clumpify output reads,Trimmomatic input reads,Trimmomatic output reads
SRR9606756,66180552,22871716,10929185,9506078
SRR9332008,52507138,10741638,5147209,4548564
SRR8886798,109015218,75911140,17907944,15228429
SRR8784138,162645948,72591804,33438349,33401753
SRR8592701,41839386,41800242,4543323,469453
SRR8464846,42721380,38401534,19057735,18653391
SRR8386112,52878778,43314612,20420947,20375708
SRR8320992,85737176,26850228,13083983,11942888
SRR8318947,51471500,28942614,13886088,12699517
SRR8293935,112875776,95823970,47435165,47231560
SRR7687009,227491376,104338426,41826940,39910318
SRR7348691,20682190,20271990,9929181,6824913
SRR6998662,30796374,14193612,6832248,6492273
SRR6766872,54744608,34090130,16610227,13837773
SRR6512852,52662226,38302432,18557051,17777353
SRR618507,53376560,49299440,22689969,21244279
SRR6023958,123698090,109046208,53667229,44338015
SRR5811995,42719510,34997702,17381765,17379396
SRR5811960,57771274,51824128,22302092,22293141
SRR5353282,76821062,64544908,12229501,11130078
SRR5353274,47476496,37076092,5594722,4992346
SRR5167051,NA,NA,NA,NA
SRR5031247,31103322,16282858,7909402,7593523
SRR4423080,70506136,54061218,26510052,25811759
SRR3581128,40250218,29898182,13654158,12751005
SRR3581115,34479824,27320202,13179359,12857034
SRR3581106,88734962,78731964,39114492,37768342
SRR2394941,50575622,43722348,18183668,18034232
SRR2131255,63515382,41148910,17542768,16936417
SRR1980045,45364674,5811750,2844805,2595282
SRR1972516,66512808,40741492,19969065,16984002
SRR1797867,59673560,53518548,26599559,26105783
SRR1611583,39262732,34820060,7549832,7076442
SRR1611566,69531036,61930364,15397513,14406283
SRR1611565,58372182,50155456,12766120,11975149
SRR1611562,59441992,51905114,9467084,8433243
SRR1611560,30538858,27899994,5355095,5100151
SRR15714765,40386728,25781716,12587712,11906394
SRR15275182,48211922,37656700,18387502,17406999
SRR1514880,94469742,64750552,26721477,25464560
SRR1508368,62354396,45818386,21199890,20893384
SRR1505175,78906444,56854320,26897515,26561887
SRR1505100,49505380,26567238,11995279,11642062
SRR14868533,43512620,38327236,18910859,18662652
SRR14868528,40951916,37149998,18184257,18053264
SRR14583829,52971102,43878924,21131425,20991342
SRR14561348,67696012,47014376,22777414,22734909
SRR14561348,67696012,47014376,22777414,22734909
SRR13614447,28935360,8357628,3371936,3166580
SRR13614445,45427620,23105894,9790847,9260710
SRR13614443,42698952,28283172,13858109,12814853
SRR13614440,42472132,26006592,12561350,11828140
SRR13614438,61053748,38079728,18392979,17464514
SRR13614437,37587094,24563348,11458010,11018828
SRR13614435,41309928,24834770,11117773,10640589
SRR13614434,69050166,38520864,17810722,16857829
SRR13614433,81382588,17535920,8303078,7784301
SRR13614432,42505012,17794818,7958958,7432708
SRR13614431,22982180,12272502,5267643,4967384
SRR13614430,44701000,24084640,11533239,10602696
SRR13614429,33919226,21105854,10336317,9520299
SRR13614428,44660446,18700304,8812564,8095968
SRR13614426,36066252,16844144,8210065,7587236
SRR13614424,35498016,19153296,8979197,8160212
SRR13614423,74954346,29026686,13922888,13409831
SRR12687642,50594154,36099252,17221839,12157696
SRR11928790,52114128,39898812,17897928,17838960
SRR11928785,31203468,25952292,11824766,11771928
SRR11928673,34953226,31151012,14830763,14270838
SRR11906528,46559252,34372944,16821370,14657785
SRR1166532,39241580,4839102,2238669,1977269
SRR1145776,81548084,30208642,12592445,12418123
SRR11128566,76704860,41642094,18942281,17948657
SRR10992330,25157544,17135918,6272422,6191633
SRR10957072,65376548,56036104,27655365,27152740
SRR10446422,31702620,25034390,12151972,10288687
SRR10446417,27903306,21571950,10626159,8441145
ERR414137,74250262,64832420,32221711,31159892
ERR146943,119384936,98355816,48866089,44461665
ERR1147311,319103018,241153246,110400700,109761931
SRR5311041,NA,NA,49911072,49883326
SRR8674649,NA,NA,9767429,7808871
SRR5819939,NA,NA,25623128,25118809
SRR9670664,NA,NA,29004739,28342853
SRR1611567,NA,NA,7762608,6815174
SRR2131688,NA,NA,2196841,2058175
