"phylum","species","accession","habitat","Adintoviridae","Iridoviridae","Unclassified.viruses","Poxviridae","Dicistroviridae","Myoviridae","Amalgaviridae","Siphoviridae","Baculoviridae","Podoviridae","Chuviridae","Iflaviridae","Rhabdoviridae","Virgaviridae","Asfarviridae","Picornaviridae","Microviridae","Hypoviridae","Alphaflexiviridae","Gammaflexiviridae","Partitiviridae","Parvoviridae","Caliciviridae","Potyviridae","Tospoviridae","Inoviridae","Reoviridae","Secoviridae","Mimiviridae"
"ANNELIDA","Amynthas_aspergillus","SRR8297750","Terrestrial",2.786635,9.33335,6.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297751","Terrestrial",5.739111,9.652925,18.63382,0.607785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297752","Terrestrial",2.027408,0,7.292131,0,2.53574,6.12357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","SRR8416228","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","SRR8449998","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Dichogaster_saliens","SRR5353279","Terrestrial",4.635529,0,0,0,5.973911,0,0,0.643343,0,0,0,0,0,0,0,0,3.78095,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR3176544","Terrestrial",228.638933,0,15.115598,0,0,0,0.855148,2.98099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR11184803","Terrestrial",1.92641,0,0,2.86239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR5820006","Terrestrial",35.729136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526982,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Perionyx_excavatus","SRR11266795","Terrestrial",4.842955,1.44271,9.937569,0,0,1.02536,0,0,5.2793,6.96429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Anapis_sp._GH2392","SRR12687648","Terrestrial",10.51359,0,15.934550061728,1.94334,3.48486,0,0.986525,0,0,0,4.849918,10.531868,15.221536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Geogarypus_maculatus","SRR9331988","Terrestrial",0.466985,0,43.287271,2.80061,7.52608,0,0,0,0,0,19.095799,0,1.96792,0,0,0,0,0,1.66309,2.59617,11.75234,3.571804,0,0,0,0,0,0,0
"ARTHROPODA","Hadrurus_arizonensis","SRR1721733","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Lechytia_hoffi","SRR9332011","Terrestrial",6.82641,0,134.41723,0,0,1.86438,0,2.37197,0,0,6.333537,50.0612,0,40.8128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Leptoctenus_byrrhus","SRR10413987","Terrestrial",0,0,13.956652,0,2.76277,1.31599,0,0,0,0,0,0,0,0,17.56187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Parasteatoda_tepidariorum","DRR047012","Terrestrial",0,0,151.833913,25.3499,0,0,0,0,0,0,0,0,0,0,0,68.91,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Stegodyphus_dumicola","SRR8416360","Terrestrial",0,0,67.932174,0,0,0,0,0,0,0,0,0,0,0,0,4.60819,0,0,0,0,0,0,10.7003,0.82242,4.46171,0,0,0,0
"ARTHROPODA","Trichonephila_clavipes","SRR5139318","Terrestrial",11.30689,0,128.88305,0,0,33.945359,0,0,0,0,0,0,0,6.7719,0,0,0,0,0,0,0,0,0,0,0,0.728301,70.2739,0,0
"ARTHROPODA","Trogloraptor_marchingtoni","SRR8481668","Terrestrial",0,0,525.637522,0,38.80853,0,0,0,0,0,1.13307,4.10372,20.6372555,0,8.16122,0,0,0,0,0,0,0,0,0,0,0,0,2.04965,0
"CNIDARIA","Acropora_digitifera","SRR8706925","Marine",0,0,5.57978,0,0,7.30546,0,6.81042,0,0,0,0,0,0,0,0,74.2776,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_digitifera","SRR8706926","Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_digitifera","SRR8706927","Marine",17.397,0,0,0,0,5.53921,0,17.20824,0,0,0,0,0,0,0,0,124.6,0,0,0,0,0,0,0,0,0,0,0,3.07926
"CNIDARIA","Acropora_digitifera","SRR8706955","Marine",2.61809,0,0,0,0,2.52198,0,0,0,0,0,0,0,0,0,0,332.893,0,0,0,0,0,0,0,0,0,0,0,7.17256
"CNIDARIA","Acropora_digitifera","SRR8706956","Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_eurystoma","SRR6831340","Marine",2.83191,0,3.22875,0,0,0,0,1.67881,0,0,0,0,0,0,0,0,90.8675,0,0,0,0,0,0,0,0,0,0,0,0
